path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,dispatch_us_p50,compute_us_p50,combine_us_p50,acc_loss_pct
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,256,6,4096,2048,596.1,563.3,696.4,107365.3,40.3,472.6,59.0,23.091
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,256,6,4096,2048,787.0,733.1,1143.3,650538.7,47.9,606.2,55.8,23.107
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,256,6,4096,2048,2883.9,2850.2,3171.3,1420281.1,91.2,2560.4,172.4,23.116
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,256,6,4096,2048,742.5,715.4,2595.7,86199.5,52.5,551.4,95.7,20.588
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,256,6,4096,2048,974.9,930.6,1944.2,525201.5,54.4,810.5,44.5,20.609
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,256,6,4096,2048,4063.7,3987.2,4151.6,1007941.5,108.7,3696.3,256.4,20.597
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,256,6,4096,2048,666.6,643.3,1594.5,96013.1,38.9,547.8,52.7,20.588
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,256,6,4096,2048,906.0,882.6,1449.9,565111.4,44.9,786.0,42.4,20.609
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,256,6,4096,2048,4037.5,3935.6,4461.0,1014480.1,94.2,3721.4,271.5,20.597
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,256,6,4096,2048,840.7,815.5,2051.7,76129.6,150.7,556.5,92.1,20.588
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,256,6,4096,2048,1073.0,1023.2,2028.6,477184.6,163.3,778.8,55.7,20.609
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,256,6,4096,2048,4457.2,4423.1,4516.9,918969.2,189.6,4124.1,131.4,20.597
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,384,6,7168,3072,124.4,110.8,1320.5,514535.6,47.4,2.6,50.1,nan
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,384,6,7168,3072,599.4,208.3,1058.2,854176.1,57.9,8.1,491.8,nan
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,384,6,7168,3072,239.0,233.3,300.9,17138649.1,109.5,2.6,94.8,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,384,6,7168,3072,82.7,78.5,122.7,773694.4,34.7,4.5,32.5,nan
